Rank,PlayerName,Team,Position,Age,GamesPlayed,GamesStarted,CompletedPasses,AttemptedPasses,PassingYards,PassingTouchdowns,Interceptions,RushAttempts,RushYards,YardsPerRush,RushingTouchdowns,Targets,Receptions,ReceivingYards,YardsPerRecepetion,ReceivingTouchdowns,Fumbles,FL,TotalTouchdowns,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PositionRank,OverallRank,-9999
239,Demarcus Robinson,BAL,WR,28,6,1,0,0,0,0,0,0,0,,0,17,9,76,8.44,1,0,0,1,,,14,22.6,22.6,18.1,,99,,RobiDe01
240,Eric Saubert,DEN,TE,28,6,2,0,0,0,0,0,0,0,,0,13,7,83,11.86,1,0,0,1,,,14,21.3,21.3,17.8,,34,,SaubEr00
241,Jaylen Warren,PIT,RB,24,6,0,0,0,0,0,0,21,96,4.57,0,9,7,46,6.57,0,1,0,0,,,14,21.2,21.2,17.7,,71,,WarrJa01
242,Nick Westbrook-Ikhine,TEN,WR,25,5,4,0,0,0,0,0,0,0,,0,12,7,138,19.71,0,0,0,0,,,14,20.8,23.8,17.3,,98,,WestNi00
243,River Cracraft,MIA,WR,28,6,0,0,0,0,0,0,0,0,,0,6,2,13,6.5,2,0,0,2,,,13,15.3,15.3,14.3,,100,,CracRi00
244,Jody Fortson,KAN,TE,27,6,0,0,0,0,0,0,0,0,,0,3,2,11,5.5,2,0,0,2,,,13,15.1,15.1,14.1,,35,,FortJo01
245,Noah Gray,KAN,TE,23,6,1,0,0,0,0,0,1,1,1,1,13,8,68,8.5,0,0,0,1,,,13,20.9,20.9,16.9,,36,,GrayNo00
246,Nyheim Hines,IND,RB,26,5,4,0,0,0,0,0,9,14,1.56,0,21,18,118,6.56,0,1,0,0,,,13,31.2,34.2,22.2,,72,,HineNy00
247,Zander Horvath,LAC,RB,24,6,1,0,0,0,0,0,3,5,1.67,0,7,4,7,1.75,2,0,0,2,,,13,17.2,17.2,15.2,,73,,HorvZa00
248,Sony Michel,LAC,RB,27,6,0,0,0,0,0,0,31,86,2.77,0,9,8,45,5.63,0,0,0,0,,,13,21.1,21.1,17.1,,74,,MichSo00
249,Christian Watson,GNB,WR,23,4,1,0,0,0,0,0,3,19,6.33,1,11,7,52,7.43,0,0,0,1,,,13,20.1,20.1,16.6,,101,,WatsCh00
250,Mike Boone,DEN,RB,27,6,0,0,0,0,0,0,11,59,5.36,0,12,6,61,10.17,0,0,0,0,,,12,18,18,15,,75,,BoonMi00
251,Jake Ferguson,DAL,TE,23,6,4,0,0,0,0,0,0,0,,0,10,7,60,8.57,1,0,0,1,,,12,19,19,15.5,,37,,FergJa00
252,Reggie Gilliam,BUF,RB,25,6,1,0,0,0,0,0,0,0,,0,9,7,57,8.14,1,0,0,1,,,12,18.7,18.7,15.2,,76,,GillRe00
253,Cole Kmet,CHI,TE,23,6,6,0,0,0,0,0,0,0,,0,15,10,116,11.6,0,0,0,0,,,12,21.6,24.6,16.6,,39,,KmetCo00
254,Trey Lance,SFO,QB,22,2,2,15,31,194,0,1,16,67,4.19,0,0,0,0,,0,1,0,0,,,12,12.5,13.5,13.5,,38,,LancTr00
255,Breshad Perriman,TAM,WR,29,4,2,0,0,0,0,0,2,-7,-3.5,0,13,6,89,14.83,1,2,1,1,,,12,18.2,19.2,15.2,,102,,PerrBr02
256,Jonnu Smith,NWE,TE,27,5,3,0,0,0,0,0,0,0,,0,13,9,119,13.22,0,0,0,0,,,12,20.9,23.9,16.4,,38,,SmitJo01
257,Ian Thomas,CAR,TE,26,6,6,0,0,0,0,0,0,0,,0,16,10,115,11.5,0,0,0,0,,,12,21.5,24.5,16.5,,40,,ThomIa00
258,Justin Watson,KAN,WR,26,6,0,0,0,0,0,0,0,0,,0,7,3,60,20,1,0,0,1,,,12,15,15,13.5,,103,,WatsJu01
259,Cameron Brate,TAM,TE,31,5,1,0,0,0,0,0,0,0,,0,22,13,114,8.77,0,0,0,0,,,11,24.4,27.4,17.9,,41,,BratCa00
260,Ross Dwelley,SFO,TE,27,6,0,0,0,0,0,0,0,0,,0,4,2,49,24.5,1,0,0,1,,,11,12.9,12.9,11.9,,43,,DwelRo00
261,KJ Hamler,DEN,WR,23,5,0,0,0,0,0,0,0,0,,0,7,4,109,27.25,0,0,0,0,,,11,14.9,17.9,12.9,,105,,HamlKJ00
262,Chris Moore,HOU,WR,29,4,1,0,0,0,0,0,0,0,,0,12,8,108,13.5,0,0,0,0,,,11,18.8,21.8,14.8,,106,,MoorCh00
263,Chigoziem Okonkwo,TEN,TE,23,5,1,0,0,0,0,0,1,-4,-4,0,5,4,49,12.25,1,0,0,1,,,11,14.5,14.5,12.5,,44,,OkonCh00
264,Boston Scott,PHI,RB,27,4,0,0,0,0,0,0,16,45,2.81,1,1,1,2,2,0,0,0,1,,,11,11.7,11.7,11.2,,77,,ScotBo02
265,Darius Slayton,NYG,WR,25,5,1,0,0,0,0,0,0,0,,0,12,8,108,13.5,0,0,0,0,,,11,18.8,21.8,14.8,,107,,SlayDa01
266,Shi Smith,CAR,WR,24,6,4,0,0,0,0,0,0,0,,0,20,8,105,13.13,0,1,0,0,,,11,18.5,21.5,14.5,,108,,SmitSh03
267,Durham Smythe,MIA,TE,27,5,5,0,0,0,0,0,1,1,1,1,7,6,50,8.33,0,0,0,1,,,11,17.1,17.1,14.1,,42,,SmytDu00
268,Sammy Watkins,GNB,WR,29,2,2,0,0,0,0,0,0,0,,0,7,6,111,18.5,0,0,0,0,,,11,17.1,20.1,14.1,,104,,WatkSa00
269,Harrison Bryant,CLE,TE,24,6,4,0,0,0,0,0,0,0,,0,19,12,99,8.25,0,0,0,0,,,10,21.9,21.9,15.9,,47,,BryaHa00
270,Greg Dulcich,DEN,TE,22,1,0,0,0,0,0,0,0,0,,0,3,2,44,22,1,0,0,1,,,10,12.4,12.4,11.4,,45,,DulcGr00
271,DeAndre Hopkins,ARI,WR,30,1,1,0,0,0,0,0,0,0,,0,14,10,103,10.3,0,1,0,0,,,10,20.3,23.3,15.3,,109,,HopkDe00
272,Keaontay Ingram,ARI,RB,23,2,0,0,0,0,0,0,12,21,1.75,1,2,2,23,11.5,0,0,0,1,,,10,12.4,12.4,11.4,,78,,IngrKe01
273,Zack Moss,BUF,RB,25,5,0,0,0,0,0,0,17,91,5.35,0,8,7,27,3.86,0,1,1,0,,,10,16.8,17.8,13.3,,79,,MossZa00
274,Cade Otton,TAM,TE,23,5,4,0,0,0,0,0,0,0,,0,16,12,99,8.25,0,0,0,0,,,10,21.9,21.9,15.9,,48,,OttoCa00
275,Wan'Dale Robinson,NYG,WR,21,2,0,0,0,0,0,0,0,0,,0,5,4,42,10.5,1,0,0,1,,,10,14.2,14.2,12.2,,110,,RobiWa01
276,Geoff Swaim,TEN,TE,29,5,5,0,0,0,0,0,0,0,,0,8,7,43,6.14,1,0,0,1,,,10,17.3,17.3,13.8,,46,,SwaiGe00
277,Pharaoh Brown,2TM,TE,28,5,5,0,0,0,0,0,0,0,,0,13,9,93,10.33,0,0,0,0,,,9,18.3,18.3,13.8,,49,,BrowPh01
278,Zach Gentry,PIT,TE,26,6,4,0,0,0,0,0,0,0,,0,10,9,89,9.89,0,0,0,0,,,9,17.9,17.9,13.4,,50,,GentZa00
279,Kendall Hinton,DEN,WR,25,4,2,0,0,0,0,0,0,0,,0,6,5,94,18.8,0,0,0,0,,,9,14.4,14.4,11.9,,111,,HintKe00
280,Julio Jones,TAM,WR,33,2,1,0,0,0,0,0,2,17,8.5,0,7,4,76,19,0,0,0,0,,,9,13.3,13.3,11.3,,112,,JoneJu02
281,Isaiah Likely,BAL,TE,22,6,0,0,0,0,0,0,0,0,,0,17,9,88,9.78,0,0,0,0,,,9,17.8,17.8,13.3,,52,,LikeIs00
282,Phillip Lindsay,IND,RB,28,2,0,0,0,0,0,0,14,47,3.36,0,7,6,19,3.17,0,0,0,0,1,,9,14.6,14.6,11.6,,80,,LindPh00
283,Josh Oliver,BAL,TE,25,6,2,0,0,0,0,0,0,0,,0,6,4,29,7.25,1,0,0,1,,,9,12.9,12.9,10.9,,51,,OlivJo00
284,Jalen Reagor,MIN,WR,23,6,0,0,0,0,0,0,1,17,17,0,5,3,10,3.33,1,2,0,1,,,9,11.7,11.7,10.2,,114,,ReagJa00
285,Hunter Renfrow,LVR,WR,27,3,1,0,0,0,0,0,0,0,,0,20,14,105,7.5,0,3,1,0,,,9,22.5,26.5,15.5,,115,,RenfHu00
286,Trent Sherfield,MIA,WR,26,6,0,0,0,0,0,0,0,0,,0,17,10,88,8.8,0,0,0,0,,,9,18.8,18.8,13.8,,113,,SherTr00
287,Matt Breida,NYG,RB,27,6,0,0,0,0,0,0,17,49,2.88,0,5,4,30,7.5,0,0,0,0,,,8,11.9,11.9,9.9,,82,,BreiMa00
288,Gary Brightwell,NYG,RB,23,6,0,0,0,0,0,0,4,19,4.75,1,0,0,0,,0,0,0,1,,,8,7.9,7.9,7.9,,83,,BrigGa00
289,Marquise Goodwin,SEA,WR,32,5,0,0,0,0,0,0,0,0,,0,10,6,79,13.17,0,0,0,0,,,8,13.9,13.9,10.9,,119,,GoodMa00
290,A.J. Green,ARI,WR,34,5,3,0,0,0,0,0,0,0,,0,22,10,56,5.6,0,0,0,0,1,,8,17.6,17.6,12.6,,120,,GreeA.00
291,Justin Jackson,DET,RB,26,5,0,0,0,0,0,0,5,17,3.4,0,3,2,4,2,1,0,0,1,,,8,10.1,10.1,9.1,,81,,JackJu01
292,Scott Miller,TAM,WR,25,4,1,0,0,0,0,0,1,8,8,0,20,8,73,9.13,0,0,0,0,,,8,16.1,16.1,12.1,,117,,MillSc01
293,Skyy Moore,KAN,WR,22,6,2,0,0,0,0,0,0,0,,0,11,6,100,16.67,0,1,1,0,,,8,14,18,11,,118,,MoorSk01
294,Johnny Mundt,MIN,TE,28,6,5,0,0,0,0,0,0,0,,0,13,11,75,6.82,0,0,0,0,,,8,18.5,18.5,13,,53,,MundJo00
295,David Sills,NYG,WR,26,6,5,0,0,0,0,0,0,0,,0,14,9,82,9.11,0,0,0,0,,,8,17.2,17.2,12.7,,116,,SillDa01
296,Keenan Allen,LAC,WR,30,1,1,0,0,0,0,0,0,0,,0,4,4,66,16.5,0,0,0,0,,,7,10.6,10.6,8.6,,124,,AlleKe00
297,John Bates,WAS,TE,25,5,3,0,0,0,0,0,0,0,,0,14,9,73,8.11,0,1,0,0,,,7,16.3,16.3,11.8,,55,,BateJo00
298,David Bell,CLE,WR,22,6,1,0,0,0,0,0,0,0,,0,8,6,66,11,0,0,0,0,,,7,12.6,12.6,9.6,,125,,BellDa02
299,Peyton Hendershot,DAL,TE,23,6,1,0,0,0,0,0,0,0,,0,8,5,65,13,0,0,0,0,,,7,11.5,11.5,9,,57,,HendPe01
300,Ty Montgomery,NWE,WR,29,1,0,0,0,0,0,0,2,-2,-1,0,4,3,15,5,1,0,0,1,,,7,10.3,10.3,8.8,,121,,MontTy01
301,Foster Moreau,LVR,TE,25,3,2,0,0,0,0,0,0,0,,0,8,6,74,12.33,0,0,0,0,,,7,13.4,13.4,10.4,,54,,MoreFo00
302,Chris Myarick,NYG,TE,27,6,5,0,0,0,0,0,0,0,,0,3,3,11,3.67,1,0,0,1,,,7,10.1,10.1,8.6,,56,,MyarCh00
303,Brandon Powell,LAR,WR,27,6,1,0,0,0,0,0,7,2,0.29,0,10,9,70,7.78,0,0,0,0,,,7,16.2,16.2,11.7,,122,,PoweBr00
304,Kalif Raymond,DET,WR,28,5,0,0,0,0,0,0,1,3,3,0,15,9,87,9.67,0,1,1,0,,,7,16,17,11.5,,123,,RaymKa00
305,Skylar Thompson,MIA,QB,25,2,1,26,46,255,0,1,1,9,9,0,0,0,0,,0,1,1,0,,,7,7.1,9.1,8.1,,39,,ThomSk00
306,Tutu Atwell,LAR,WR,23,5,0,0,0,0,0,0,1,9,9,0,4,1,54,54,0,0,0,0,,,6,7.3,7.3,6.8,,129,,AtweTu00
307,Andrew Beck,DEN,TE,26,6,3,0,0,0,0,0,1,-1,-1,0,5,3,59,19.67,0,0,0,0,,,6,8.8,8.8,7.3,,62,,BeckAn01
308,Jamison Crowder,BUF,WR,29,4,0,0,0,0,0,0,0,0,,0,13,6,60,10,0,1,0,0,,,6,12,12,9,,131,,CrowJa00
309,Josiah Deguara,GNB,TE,25,6,0,0,0,0,0,0,0,0,,0,6,5,56,11.2,0,0,0,0,,,6,10.6,10.6,8.1,,63,,DeguJo00
310,D'Wayne Eskridge,SEA,WR,25,6,0,0,0,0,0,0,1,6,6,0,8,6,55,9.17,0,0,0,0,,,6,12.1,12.1,9.1,,130,,EskrDW00
311,Jalen Guyton,LAC,WR,25,3,0,0,0,0,0,0,0,0,,0,4,2,64,32,0,0,0,0,,,6,8.4,8.4,7.4,,126,,GuytJa01
312,Connor Heyward,PIT,TE,23,6,0,0,0,0,0,0,0,0,,0,5,4,61,15.25,0,0,0,0,,,6,10.1,10.1,8.1,,60,,HeywCo00
313,Austin Hooper,TEN,TE,28,5,0,0,0,0,0,0,0,0,,0,11,6,55,9.17,0,0,0,0,,,6,11.5,11.5,8.5,,64,,HoopAu00
314,Marcus Johnson,NYG,WR,28,3,2,0,0,0,0,0,0,0,,0,7,5,60,12,0,0,0,0,,,6,11,11,8.5,,132,,JohnMa07
315,Jake Kumerow,BUF,WR,30,3,1,0,0,0,0,0,0,0,,0,5,4,64,16,0,0,0,0,,,6,10.4,10.4,8.4,,127,,KumeJa00
316,Marcedes Lewis,GNB,TE,38,6,6,0,0,0,0,0,0,0,,0,1,1,2,2,1,0,0,1,,,6,7.2,7.2,6.7,,58,,LewiMa00
317,MyCole Pruitt,ATL,TE,30,2,0,0,0,0,0,0,0,0,,0,1,1,2,2,1,0,0,1,,,6,7.2,7.2,6.7,,59,,PruiMy00
318,Giovanni Ricci,CAR,RB,26,6,2,0,0,0,0,0,0,0,,0,6,5,58,11.6,0,0,0,0,,,6,10.8,10.8,8.3,,84,,RiccGi00
319,Dalton Schultz,DAL,TE,26,4,4,0,0,0,0,0,0,0,,0,17,9,80,8.89,0,1,1,0,,,6,15,16,10.5,,61,,SchuDa00
320,Mike Strachan,IND,WR,25,6,0,0,0,0,0,0,0,0,,0,8,3,59,19.67,0,0,0,0,,,6,8.9,8.9,7.4,,133,,StraMi03
321,Mike Thomas,CIN,WR,28,6,1,0,0,0,0,0,0,0,,0,8,2,38,19,0,0,0,0,1,,6,7.8,7.8,6.8,,134,,ThomMi04
322,Kevin White,NOR,WR,30,2,0,0,0,0,0,0,0,0,,0,2,1,64,64,0,0,0,0,,,6,7.4,7.4,6.9,,128,,WhitKe00
323,Dan Arnold,JAX,TE,27,6,0,0,0,0,0,0,0,0,,0,4,3,54,18,0,0,0,0,,,5,8.4,8.4,6.9,,65,,ArnoDa00
324,Michael Bandy,LAC,WR,25,3,0,0,0,0,0,0,0,0,,0,4,3,53,17.67,0,0,0,0,,,5,8.3,8.3,6.8,,136,,BandMi00
325,Travis Homer,SEA,RB,24,3,0,0,0,0,0,0,4,18,4.5,0,4,4,33,8.25,0,0,0,0,,,5,9.1,9.1,7.1,,86,,HomeTr00
326,Velus Jones Jr.,CHI,WR,25,3,0,0,0,0,0,0,1,8,8,0,2,2,19,9.5,1,2,2,1,,,5,6.7,8.7,5.7,,139,,JoneVe00
327,Tom Kennedy,DET,WR,26,2,1,0,0,0,0,0,0,0,,0,5,3,54,18,0,0,0,0,,,5,8.4,8.4,6.9,,135,,KennTo01
328,Ray-Ray McCloud,SFO,WR,26,6,1,0,0,0,0,0,0,0,,0,9,4,53,13.25,0,2,0,0,,,5,9.3,9.3,7.3,,137,,McClRa00
329,Quintin Morris,BUF,TE,23,5,1,0,0,0,0,0,0,0,,0,9,6,67,11.17,0,1,1,0,,,5,10.7,11.7,7.7,,68,,MorrQu00
330,Albert Okwuegbunam,DEN,TE,24,5,0,0,0,0,0,0,0,0,,0,11,7,50,7.14,0,0,0,0,,,5,12,12,8.5,,67,,OkwuAl00
331,Donald Parham,LAC,TE,25,2,0,0,0,0,0,0,0,0,,0,4,3,53,17.67,0,0,0,0,,,5,8.3,8.3,6.8,,66,,ParhDo00
332,P.J. Walker,CAR,QB,27,2,1,15,22,120,0,0,1,-1,-1,0,0,0,0,,0,0,0,0,,,5,4.7,4.7,4.7,,40,,WalkPh00
333,Jonathan Williams,WAS,RB,28,5,0,0,0,0,0,0,6,54,9,0,0,0,0,,0,0,0,0,,,5,5.4,5.4,5.4,,85,,WillJo07
334,Cedrick Wilson Jr.,MIA,WR,27,5,0,0,0,0,0,0,1,8,8,0,7,4,40,10,0,0,0,0,,,5,8.8,8.8,6.8,,138,,WilsCe01
335,Kendall Blanton,LAR,TE,27,4,0,0,0,0,0,0,0,0,,0,2,2,35,17.5,0,0,0,0,,,4,5.5,5.5,4.5,,74,,BlanKe01
336,Grant Calcaterra,PHI,TE,24,4,1,0,0,0,0,0,0,0,,0,1,1,40,40,0,0,0,0,,,4,5,5,4.5,,71,,CalcGr00
337,Anthony Firkser,ATL,TE,27,5,1,0,0,0,0,0,0,0,,0,4,3,39,13,0,0,0,0,,,4,6.9,6.9,5.4,,73,,FirkAn00
338,D'Onta Foreman,CAR,RB,26,6,0,0,0,0,0,0,12,37,3.08,0,0,0,0,,0,0,0,0,,,4,3.7,3.7,3.7,,90,,ForeDO00
339,Hassan Haskins,TEN,RB,23,5,0,0,0,0,0,0,9,37,4.11,0,1,1,0,0,0,0,0,0,,,4,4.7,4.7,4.2,,91,,HaskHa00
340,Parker Hesse,ATL,TE,27,6,3,0,0,0,0,0,0,0,,0,5,4,41,10.25,0,0,0,0,,,4,8.1,8.1,6.1,,70,,HessPa00
341,Isaiah Hodgins,BUF,WR,24,2,0,0,0,0,0,0,0,0,,0,6,4,41,10.25,0,0,0,0,,,4,8.1,8.1,6.1,,140,,HodgIs00
342,Tanner Hudson,NYG,TE,28,6,0,0,0,0,0,0,0,0,,0,5,3,40,13.33,0,0,0,0,,,4,7,7,5.5,,72,,HudsTa00
343,Alec Ingold,MIA,RB,26,6,6,0,0,0,0,0,4,5,1.25,0,7,5,33,6.6,0,0,0,0,,,4,8.8,8.8,6.3,,89,,IngoAl01
344,Elijah Mitchell,SFO,RB,24,1,1,0,0,0,0,0,6,41,6.83,0,0,0,0,,0,0,0,0,,,4,4.1,4.1,4.1,,88,,MitcEl00
345,Zach Pascal,PHI,WR,28,6,0,0,0,0,0,0,1,0,0,0,7,6,39,6.5,0,0,0,0,,,4,9.9,9.9,6.9,,141,,PascZa00
346,Kyle Philips,TEN,WR,23,4,0,0,0,0,0,0,0,0,,0,13,8,78,9.75,0,2,2,0,,,4,11.8,13.8,7.8,,143,,PhilKy01
347,Dak Prescott,DAL,QB,29,1,1,14,29,134,0,1,2,11,5.5,0,0,0,0,,0,0,0,0,,,4,4.5,5.5,5.5,,41,,PresDa01
348,Patrick Ricard,BAL,RB,28,6,6,0,0,0,0,0,2,8,4,0,6,5,36,7.2,0,0,0,0,,,4,9.4,9.4,6.9,,87,,RicaPa00
349,Anthony Schwartz,CLE,WR,22,6,0,0,0,0,0,0,2,20,10,0,6,1,19,19,0,0,0,0,,,4,4.9,4.9,4.4,,142,,SchwAn00
350,Tommy Tremble,CAR,TE,22,6,1,0,0,0,0,0,0,0,,0,9,5,42,8.4,0,0,0,0,,,4,9.2,9.2,6.7,,69,,TremTo00
351,Andre Baccellia,ARI,WR,25,5,0,0,0,0,0,0,0,0,,0,6,4,25,6.25,0,0,0,0,,,3,6.5,6.5,4.5,,149,,BaccAn00
352,Malcolm Brown,LAR,RB,29,3,0,0,0,0,0,0,7,15,2.14,0,1,1,13,13,0,0,0,0,,,3,3.8,3.8,3.3,,96,,BrowMa03
353,Tyrie Cleveland,DEN,WR,25,4,0,0,0,0,0,0,0,0,,0,4,2,28,14,0,0,0,0,,,3,4.8,4.8,3.8,,146,,ClevTy00
354,DeeJay Dallas,SEA,RB,24,6,0,0,1,0,0,1,6,26,4.33,0,3,3,23,7.67,0,0,0,0,,,3,5.9,6.9,5.4,,95,,DallDe00
355,Jaelon Darden,TAM,WR,23,6,0,0,0,0,0,0,1,2,2,0,1,1,25,25,0,0,0,0,,,3,3.7,3.7,3.2,,148,,DardJa00
356,Tyler Davis,GNB,TE,25,6,1,0,0,0,0,0,0,0,,0,6,4,26,6.5,0,0,0,0,,,3,6.6,6.6,4.6,,78,,DaviTy02
357,Tyrion Davis-Price,SFO,RB,22,2,0,0,0,0,0,0,14,33,2.36,0,0,0,0,,0,0,0,0,,,3,3.3,3.3,3.3,,92,,DaviTy03
358,Trestan Ebner,CHI,RB,23,6,0,0,0,0,0,0,13,43,3.31,0,4,2,8,4,0,2,1,0,,,3,5.1,6.1,4.1,,94,,EbneTr00
359,Ben Ellefson,MIN,TE,26,4,1,0,0,0,0,0,0,0,,0,3,3,26,8.67,0,0,0,0,,,3,5.6,5.6,4.1,,79,,ElleBe00
360,Myles Gaskin,MIA,RB,25,2,0,0,0,0,0,0,4,9,2.25,0,5,3,24,8,0,0,0,0,,,3,6.3,6.3,4.8,,93,,GaskMy00
361,Jordan Love,GNB,QB,24,2,0,6,9,73,0,0,0,0,,0,0,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,42,,LoveJo03
362,Terrace Marshall Jr.,CAR,WR,22,3,0,0,0,0,0,0,0,0,,0,5,4,30,7.5,0,0,0,0,,,3,7,7,5,,145,,MarsTe00
363,Tre' McKitty,LAC,TE,23,6,2,0,0,0,0,0,0,0,,0,7,4,28,7,0,1,0,0,,,3,6.8,6.8,4.8,,77,,McKiTr00
364,Byron Pringle,CHI,WR,29,3,1,0,0,0,0,0,0,0,,0,3,2,33,16.5,0,0,0,0,,,3,5.3,5.3,4.3,,144,,PrinBy00
365,Jeff Smith,NYJ,WR,25,6,0,0,0,0,0,0,0,0,,0,3,2,28,14,0,0,0,0,,,3,4.8,4.8,3.8,,147,,SmitJe03
366,Jack Stoll,PHI,TE,24,6,4,0,0,0,0,0,0,0,,0,3,2,25,12.5,0,0,0,0,,,3,4.5,4.5,3.5,,80,,StolJa00
367,C.J. Uzomah,NYJ,TE,29,5,4,0,0,0,0,0,0,0,,0,5,5,34,6.8,0,0,0,0,,,3,8.4,8.4,5.9,,75,,UzomC.00
